step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.921105,train,9.274155,1778734.710931,2.00000000e-03
50,29.729509,train,3.756028,56872.292358,2.00000000e-03
100,56.810361,train,3.146444,60500.311573,2.00000000e-03
150,82.931538,train,2.841852,62723.055417,2.00000000e-03
200,108.577193,train,2.637408,63886.065304,2.00000000e-03
200,112.018691,val,2.602518,,2.00000000e-03
250,137.408383,train,2.477491,56827.346387,2.00000000e-03
300,162.679736,train,2.314913,64832.301170,2.00000000e-03
350,187.873844,train,2.303798,65031.078493,2.00000000e-03
400,212.987912,train,2.158731,65238.334421,2.00000000e-03
400,216.327855,val,2.171013,,2.00000000e-03
450,241.419583,train,2.138803,57625.879007,2.00000000e-03
500,266.490340,train,2.079617,65351.038492,2.00000000e-03
550,291.548914,train,1.978981,65382.810169,2.00000000e-03
600,316.597884,train,2.027956,65407.878466,2.00000000e-03
600,319.938805,val,1.980322,,2.00000000e-03
650,344.981004,train,1.908726,57724.450185,2.00000000e-03
700,370.022502,train,1.949858,65427.395899,2.00000000e-03
750,395.053141,train,1.915711,65455.780189,2.00000000e-03
800,420.083206,train,1.883593,65457.280294,2.00000000e-03
800,423.424126,val,1.880088,,2.00000000e-03
850,448.446810,train,1.880890,57764.169791,2.00000000e-03
900,473.465299,train,1.882713,65487.567694,2.00000000e-03
950,498.494006,train,1.839057,65460.831316,2.00000000e-03
1000,523.510607,train,1.822138,65492.512002,2.00000000e-03
1000,526.851518,val,1.814497,,2.00000000e-03
1050,551.871402,train,1.787184,57769.890180,2.00000000e-03
1100,576.887821,train,1.787830,65492.985127,2.00000000e-03
1150,601.903779,train,1.801794,65494.195434,2.00000000e-03
1200,626.917628,train,1.815852,65499.715101,2.00000000e-03
1200,630.257897,val,1.771287,,2.00000000e-03
1250,655.279368,train,1.774786,57767.964642,2.00000000e-03
1300,680.294700,train,1.759125,65495.831510,2.00000000e-03
1350,705.290682,train,1.690023,65546.536694,2.00000000e-03
1400,730.302855,train,1.746682,65504.103032,2.00000000e-03
1400,733.642065,val,1.719109,,2.00000000e-03
1450,758.649268,train,1.772931,57799.201384,2.00000000e-03
1500,783.646540,train,1.740739,65543.151405,2.00000000e-03
1550,808.657053,train,1.653104,65508.453458,2.00000000e-03
1600,833.649240,train,1.690726,65556.487653,2.00000000e-03
1600,836.989921,val,1.712982,,2.00000000e-03
1650,861.994667,train,1.745614,57801.209224,2.00000000e-03
1700,886.992745,train,1.679678,65541.039137,2.00000000e-03
1750,911.984770,train,1.670438,65556.912921,2.00000000e-03
1800,936.976525,train,1.683669,65557.622131,2.00000000e-03
1800,940.314988,val,1.666286,,2.00000000e-03
1850,965.306991,train,1.673725,57831.734372,2.00000000e-03
1900,990.300101,train,1.680264,65554.066854,2.00000000e-03
1950,1015.310398,train,1.650369,65509.017988,2.00000000e-03
2000,1040.302791,train,1.625649,65555.946694,2.00000000e-03
2000,1043.642319,val,1.660216,,2.00000000e-03
2050,1068.634647,train,1.665976,57828.897108,2.00000000e-03
2100,1093.626350,train,1.663530,65557.759097,2.00000000e-03
2150,1118.618308,train,1.695505,65557.088033,2.00000000e-03
2200,1143.611016,train,1.629531,65555.119952,2.00000000e-03
2200,1146.949931,val,1.634902,,2.00000000e-03
2250,1171.941406,train,1.649905,57831.891087,2.00000000e-03
2300,1196.934325,train,1.681058,65554.567759,2.00000000e-03
2350,1221.944155,train,1.671493,65510.241378,2.00000000e-03
2400,1246.937029,train,1.620928,65554.684701,2.00000000e-03
2400,1250.276012,val,1.622477,,2.00000000e-03
2450,1275.268454,train,1.644438,57829.777457,2.00000000e-03
2500,1300.260660,train,1.608804,65556.437622,2.00000000e-03
2550,1325.251276,train,1.661900,65560.607987,2.00000000e-03
2600,1350.243696,train,1.581276,65555.876652,2.00000000e-03
2600,1353.582826,val,1.612144,,2.00000000e-03
2650,1378.573766,train,1.614005,57832.544723,2.00000000e-03
2700,1403.565681,train,1.667707,65557.201231,2.00000000e-03
2750,1428.558565,train,1.611436,65554.659686,2.00000000e-03
2800,1453.549687,train,1.591975,65559.279516,2.00000000e-03
2800,1456.887482,val,1.587501,,2.00000000e-03
2850,1481.880651,train,1.616471,57830.719641,2.00000000e-03
2900,1506.870830,train,1.577814,65561.755118,2.00000000e-03
2950,1531.864855,train,1.580190,65551.666244,2.00000000e-03
3000,1556.855237,train,1.586209,65561.222829,2.00000000e-03
3000,1560.191159,val,1.585877,,2.00000000e-03
